Index,ROI,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PCh,Cr+PCr,Cys,GABA,Glu,Gln,Gly,GSH,Ins,NAA,NAAG,Ser,Tau,TwoHG,MM,NAA+NAAG,Glu+Gln,Ins+Gly,GABA+Glu,TwoHG+Gln,GPC+PChToNAA,Cr+PCrToNAA,CysToNAA,GABAToNAA,GluToNAA,GlnToNAA,GlyToNAA,GSHToNAA,InsToNAA,SerToNAA,TauToNAA,TwoHGToNAA,MMToNAA,Glu+GlnToNAA,Ins+GlyToNAA,GABA+GluToNAA,TwoHG+GlnToNAA,GPC+PChToNAA+NAAG,Cr+PCrToNAA+NAAG,CysToNAA+NAAG,GABAToNAA+NAAG,GluToNAA+NAAG,GlnToNAA+NAAG,GlyToNAA+NAAG,GSHToNAA+NAAG,InsToNAA+NAAG,SerToNAA+NAAG,TauToNAA+NAAG,TwoHGToNAA+NAAG,MMToNAA+NAAG,Glu+GlnToNAA+NAAG,Ins+GlyToNAA+NAAG,GABA+GluToNAA+NAAG,TwoHG+GlnToNAA+NAAG,GPC+PChToCr+PCr,CysToCr+PCr,GABAToCr+PCr,GluToCr+PCr,GlnToCr+PCr,GlyToCr+PCr,GSHToCr+PCr,InsToCr+PCr,NAAToCr+PCr,NAAGToCr+PCr,SerToCr+PCr,TauToCr+PCr,TwoHGToCr+PCr,MMToCr+PCr,NAA+NAAGToCr+PCr,Glu+GlnToCr+PCr,Ins+GlyToCr+PCr,GABA+GluToCr+PCr,TwoHG+GlnToCr+PCr,TwoHGToGPC+PCh,TwoHGToCys,TwoHGToGABA,TwoHGToGlu,TwoHGToGln,TwoHGToGly,TwoHGToGSH,TwoHGToIns,TwoHGToNAAG,TwoHGToSer,TwoHGToTau,TwoHGToMM,TwoHGToGlu+Gln,TwoHGToIns+Gly,TwoHGToGABA+Glu,TwoHGToTwoHG+Gln,Cr+PCrToGPC+PCh,CysToGPC+PCh,GABAToGPC+PCh,GluToGPC+PCh,GlnToGPC+PCh,GlyToGPC+PCh,GSHToGPC+PCh,InsToGPC+PCh,NAAToGPC+PCh,NAAGToGPC+PCh,SerToGPC+PCh,TauToGPC+PCh,MMToGPC+PCh,NAA+NAAGToGPC+PCh,Glu+GlnToGPC+PCh,Ins+GlyToGPC+PCh,GABA+GluToGPC+PCh,TwoHG+GlnToGPC+PCh,GlyToIns,GlyToGly+Ins,GlnToGlu+Gln,GluToGlu+Gln
10,Cingulate  cortex GM,12.92,12.61,7.61,12.5,2.67,2.22,8.45,1.26,2.36,10.14,2.47,1.0,1.05,6.6,10.86,2.06,2.4,2.81,0.2,0.2,12.92,12.61,7.61,12.5,2.67,0.2044,0.7781,0.116,0.2173,0.9337,0.2274,0.0921,0.0967,0.6077,0.221,0.2587,0.0184,0.0184,1.1611,0.7007,1.151,0.2459,0.1718,0.654,0.0975,0.1827,0.7848,0.1912,0.0774,0.0813,0.5108,0.1858,0.2175,0.0155,0.0155,0.976,0.589,0.9675,0.2067,0.2627,0.1491,0.2793,1.2,0.2923,0.1183,0.1243,0.7811,1.2852,0.2438,0.284,0.3325,0.0237,0.0237,1.529,1.4923,0.9006,1.4793,0.316,0.0901,0.1587,0.0847,0.0197,0.081,0.2,0.1905,0.0303,0.0971,0.0833,0.0712,1.0,0.0159,0.0263,0.016,0.0749,3.8063,0.5676,1.0631,4.5676,1.1126,0.4505,0.473,2.973,4.8919,0.9279,1.0811,1.2658,0.0901,5.8198,5.6802,3.4279,5.6306,1.2027,0.1515,0.1314,0.1959,0.8041
11,Cingulate cortex/subcortex GM+WM,12.74,11.08,7.29,11.09,2.3,2.28,7.94,1.17,2.12,8.98,2.1,1.03,1.14,6.26,10.68,2.06,2.32,2.41,0.2,0.2,12.74,11.08,7.29,11.1,2.3,0.2135,0.7434,0.1096,0.1985,0.8408,0.1966,0.0964,0.1067,0.5861,0.2172,0.2257,0.0187,0.0187,1.0375,0.6826,1.0393,0.2154,0.179,0.6232,0.0918,0.1664,0.7049,0.1648,0.0808,0.0895,0.4914,0.1821,0.1892,0.0157,0.0157,0.8697,0.5722,0.8713,0.1805,0.2872,0.1474,0.267,1.131,0.2645,0.1297,0.1436,0.7884,1.3451,0.2594,0.2922,0.3035,0.0252,0.0252,1.6045,1.3955,0.9181,1.398,0.2897,0.0877,0.1709,0.0943,0.0223,0.0952,0.1942,0.1754,0.0319,0.0971,0.0862,0.083,1.0,0.0181,0.0274,0.018,0.087,3.4825,0.5132,0.9298,3.9386,0.9211,0.4518,0.5,2.7456,4.6842,0.9035,1.0175,1.057,0.0877,5.5877,4.8596,3.1974,4.8684,1.0088,0.1645,0.1413,0.1895,0.8105
12,Visual subcortex WM,11.26,8.74,5.56,8.57,2.3,1.54,6.74,0.98,1.93,6.64,2.1,0.96,0.92,4.6,9.31,1.95,2.09,1.88,0.2,0.2,11.26,8.74,5.56,8.57,2.3,0.1654,0.724,0.1053,0.2073,0.7132,0.2256,0.1031,0.0988,0.4941,0.2245,0.2019,0.0215,0.0215,0.9388,0.5972,0.9205,0.247,0.1368,0.5986,0.087,0.1714,0.5897,0.1865,0.0853,0.0817,0.4085,0.1856,0.167,0.0178,0.0178,0.7762,0.4938,0.7611,0.2043,0.2285,0.1454,0.2864,0.9852,0.3116,0.1424,0.1365,0.6825,1.3813,0.2893,0.3101,0.2789,0.0297,0.0297,1.6706,1.2967,0.8249,1.2715,0.3412,0.1299,0.2041,0.1036,0.0301,0.0952,0.2083,0.2174,0.0435,0.1026,0.0957,0.1064,1.0,0.0229,0.036,0.0233,0.087,4.3766,0.6364,1.2532,4.3117,1.3636,0.6234,0.5974,2.987,6.0455,1.2662,1.3571,1.2208,0.1299,7.3117,5.6753,3.6104,5.5649,1.4935,0.2087,0.1727,0.2403,0.7597
13,Primary somatosensory subcortex WM,12.23,9.95,6.11,9.51,2.27,1.73,7.57,1.18,1.63,7.88,2.07,0.9,0.66,5.21,10.06,2.17,1.74,2.23,0.2,0.2,12.23,9.95,6.11,9.51,2.27,0.172,0.7525,0.1173,0.162,0.7833,0.2058,0.0895,0.0656,0.5179,0.173,0.2217,0.0199,0.0199,0.9891,0.6074,0.9453,0.2256,0.1415,0.619,0.0965,0.1333,0.6443,0.1693,0.0736,0.054,0.426,0.1423,0.1823,0.0164,0.0164,0.8136,0.4996,0.7776,0.1856,0.2285,0.1559,0.2153,1.041,0.2734,0.1189,0.0872,0.6882,1.3289,0.2867,0.2299,0.2946,0.0264,0.0264,1.6156,1.3144,0.8071,1.2563,0.2999,0.1156,0.1695,0.1227,0.0254,0.0966,0.2222,0.303,0.0384,0.0922,0.1149,0.0897,1.0,0.0201,0.0327,0.021,0.0881,4.3757,0.6821,0.9422,4.5549,1.1965,0.5202,0.3815,3.0116,5.815,1.2543,1.0058,1.289,0.1156,7.0694,5.7514,3.5318,5.4971,1.3121,0.1727,0.1473,0.208,0.792
14,Primary somatosensory cortex/subcortex GM+WM,11.8,10.02,6.05,9.52,2.32,1.65,7.4,1.15,1.62,7.9,2.12,0.89,0.62,5.16,9.73,2.08,1.73,2.3,0.2,0.2,11.8,10.02,6.05,9.52,2.32,0.1696,0.7605,0.1182,0.1665,0.8119,0.2179,0.0915,0.0637,0.5303,0.1778,0.2364,0.0206,0.0206,1.0298,0.6218,0.9784,0.2384,0.1398,0.6271,0.0975,0.1373,0.6695,0.1797,0.0754,0.0525,0.4373,0.1466,0.1949,0.0169,0.0169,0.8492,0.5127,0.8068,0.1966,0.223,0.1554,0.2189,1.0676,0.2865,0.1203,0.0838,0.6973,1.3149,0.2811,0.2338,0.3108,0.027,0.027,1.5946,1.3541,0.8176,1.2865,0.3135,0.1212,0.1739,0.1235,0.0253,0.0943,0.2247,0.3226,0.0388,0.0962,0.1156,0.087,1.0,0.02,0.0331,0.021,0.0862,4.4848,0.697,0.9818,4.7879,1.2848,0.5394,0.3758,3.1273,5.897,1.2606,1.0485,1.3939,0.1212,7.1515,6.0727,3.6667,5.7697,1.4061,0.1725,0.1471,0.2116,0.7884
15,Thalamus,13.18,11.7,7.41,11.65,2.72,2.4,8.81,1.32,2.47,9.18,2.52,1.16,1.37,6.24,10.6,2.58,2.69,2.41,0.2,0.2,13.18,11.7,7.41,11.65,2.72,0.2264,0.8311,0.1245,0.233,0.866,0.2377,0.1094,0.1292,0.5887,0.2538,0.2274,0.0189,0.0189,1.1038,0.6991,1.0991,0.2566,0.1821,0.6684,0.1002,0.1874,0.6965,0.1912,0.088,0.1039,0.4734,0.2041,0.1829,0.0152,0.0152,0.8877,0.5622,0.8839,0.2064,0.2724,0.1498,0.2804,1.042,0.286,0.1317,0.1555,0.7083,1.2032,0.2928,0.3053,0.2736,0.0227,0.0227,1.496,1.328,0.8411,1.3224,0.3087,0.0833,0.1515,0.081,0.0218,0.0794,0.1724,0.146,0.0321,0.0775,0.0743,0.083,1.0,0.0171,0.027,0.0172,0.0735,3.6708,0.55,1.0292,3.825,1.05,0.4833,0.5708,2.6,4.4167,1.075,1.1208,1.0042,0.0833,5.4917,4.875,3.0875,4.8542,1.1333,0.1859,0.1565,0.2154,0.7846
16,Putamen,11.4,12.33,5.95,11.03,3.33,2.27,9.36,1.18,1.83,9.2,3.13,0.87,1.33,5.09,9.58,1.83,2.8,2.26,0.2,0.2,11.4,12.33,5.95,11.03,3.33,0.237,0.977,0.1232,0.191,0.9603,0.3267,0.0908,0.1388,0.5313,0.2923,0.2359,0.0209,0.0209,1.2871,0.6211,1.1514,0.3476,0.1991,0.8211,0.1035,0.1605,0.807,0.2746,0.0763,0.1167,0.4465,0.2456,0.1982,0.0175,0.0175,1.0816,0.5219,0.9675,0.2921,0.2425,0.1261,0.1955,0.9829,0.3344,0.0929,0.1421,0.5438,1.0235,0.1955,0.2991,0.2415,0.0214,0.0214,1.2179,1.3173,0.6357,1.1784,0.3558,0.0881,0.1695,0.1093,0.0217,0.0639,0.2299,0.1504,0.0393,0.1093,0.0714,0.0885,1.0,0.0162,0.0336,0.0181,0.0601,4.1233,0.5198,0.8062,4.0529,1.3789,0.3833,0.5859,2.2423,4.2203,0.8062,1.2335,0.9956,0.0881,5.022,5.4317,2.6211,4.859,1.467,0.1709,0.1462,0.2539,0.7461
17,Non-lobe WM,12.09,7.77,6.38,7.78,1.79,2.42,7.59,0.95,1.6,6.18,1.59,1.05,1.32,5.34,9.88,2.21,2.1,1.77,0.2,0.2,12.09,7.77,6.38,7.78,1.79,0.2449,0.7682,0.0962,0.1619,0.6255,0.1609,0.1063,0.1336,0.5405,0.2126,0.1791,0.0202,0.0202,0.7864,0.6457,0.7874,0.1812,0.2002,0.6278,0.0786,0.1323,0.5112,0.1315,0.0868,0.1092,0.4417,0.1737,0.1464,0.0165,0.0165,0.6427,0.5277,0.6435,0.1481,0.3188,0.1252,0.2108,0.8142,0.2095,0.1383,0.1739,0.7036,1.3017,0.2912,0.2767,0.2332,0.0264,0.0264,1.5929,1.0237,0.8406,1.025,0.2358,0.0826,0.2105,0.125,0.0324,0.1258,0.1905,0.1515,0.0375,0.0905,0.0952,0.113,1.0,0.0257,0.0313,0.0257,0.1117,3.1364,0.3926,0.6612,2.5537,0.657,0.4339,0.5455,2.2066,4.0826,0.9132,0.8678,0.7314,0.0826,4.9959,3.2107,2.6364,3.2149,0.7397,0.1966,0.1646,0.2046,0.7954
18,Cortical GM (left),10.97,10.48,5.9,10.02,2.55,1.64,6.92,0.97,1.9,8.13,2.35,0.84,0.79,5.06,9.16,1.8,1.96,2.31,0.2,0.2,10.97,10.48,5.9,10.03,2.55,0.179,0.7555,0.1059,0.2074,0.8876,0.2566,0.0917,0.0862,0.5524,0.214,0.2522,0.0218,0.0218,1.1441,0.6441,1.095,0.2784,0.1495,0.6308,0.0884,0.1732,0.7411,0.2142,0.0766,0.072,0.4613,0.1787,0.2106,0.0182,0.0182,0.9553,0.5378,0.9143,0.2325,0.237,0.1402,0.2746,1.1749,0.3396,0.1214,0.1142,0.7312,1.3237,0.2601,0.2832,0.3338,0.0289,0.0289,1.5853,1.5145,0.8526,1.4494,0.3685,0.122,0.2062,0.1053,0.0246,0.0851,0.2381,0.2532,0.0395,0.1111,0.102,0.0866,1.0,0.0191,0.0339,0.0199,0.0784,4.2195,0.5915,1.1585,4.9573,1.4329,0.5122,0.4817,3.0854,5.5854,1.0976,1.1951,1.4085,0.122,6.689,6.3902,3.5976,6.1159,1.5549,0.166,0.1424,0.2242,0.7758
19,Cortical GM (right),11.4,10.67,6.35,10.31,2.52,1.75,7.25,1.0,1.96,8.35,2.32,0.85,0.8,5.49,9.52,1.89,1.87,2.43,0.2,0.2,11.4,10.67,6.35,10.31,2.52,0.1838,0.7616,0.105,0.2059,0.8771,0.2437,0.0893,0.084,0.5767,0.1964,0.2553,0.021,0.021,1.1208,0.667,1.083,0.2647,0.1535,0.636,0.0877,0.1719,0.7325,0.2035,0.0746,0.0702,0.4816,0.164,0.2132,0.0175,0.0175,0.936,0.557,0.9044,0.2211,0.2414,0.1379,0.2703,1.1517,0.32,0.1172,0.1103,0.7572,1.3131,0.2607,0.2579,0.3352,0.0276,0.0276,1.5724,1.4717,0.8759,1.4221,0.3476,0.1143,0.2,0.102,0.024,0.0862,0.2353,0.25,0.0364,0.1058,0.107,0.0823,1.0,0.0187,0.0315,0.0194,0.0794,4.1429,0.5714,1.12,4.7714,1.3257,0.4857,0.4571,3.1371,5.44,1.08,1.0686,1.3886,0.1143,6.5143,6.0971,3.6286,5.8914,1.44,0.1548,0.1339,0.2174,0.7826
